Q_No,Question,TF-IDF Score
Q24,"If your emotions were a weather report today, what would it be and why?",3.5586643659031134
Q23,"Do you often feel empty, hopeless, or disconnected from others? Explain if you’d like.",3.5457724655168095
Q27,What kind of support would make you feel safer or more supported emotionally?,3.4998752227072574
Q22,How have your emotions been over the past two weeks? Please describe.,3.4034318047743715
Q21,What do you usually think about when you feel sad or overwhelmed?,3.263039688261733
Q16,Rate your motivation to get out of bed in the morning.,3.2347624458962643
Q17,Rate how lonely you've felt in the past two weeks.,3.21945451148261
Q10,Do you experience trouble sleeping or eating due to emotional stress?,3.210409464647875
Q6,Do you feel comfortable talking to someone about your emotional struggles?,3.1767671221087053
Q4,Do you ever think people would be better off without you?,3.1254383521383735
Q5,Have you been isolating yourself from friends or family lately?,3.071986132673784
Q3,Have you ever seriously considered suicide in the past year?,3.069818011688511
Q20,Rate how much support you feel from your friends/family.,3.0333804807773017
Q19,Rate how safe you feel expressing your emotions to others.,3.0259237120963216
Q28,What keeps you going on difficult days? What gives you hope?,2.9594415138697663
Q26,What do you usually do when you’re feeling emotionally low?,2.955078681215391
Q9,Have you recently had trouble focusing or staying motivated?,2.8962122490187765
Q1,Have you ever had thoughts about ending your life?,2.883146674448612
Q18,Rate how often you feel overwhelmed by your responsibilities.,2.8572676571565765
Q2,Do you feel like you're a burden to others?,2.772938604588659
Q7,Have you ever spoken to a counselor or therapist?,2.709792805636317
Q25,"Finish this sentence: 'Lately, I’ve been feeling...'",2.638386526760243
Q8,Have you stopped doing things you once enjoyed?,2.607390061737338
Q14,Rate your ability to enjoy daily activities.,2.5521562693937696
Q12,Rate how often you feel emotionally exhausted.,2.532626674859388
Q15,Rate your current level of stress.,2.374803941312477
Q11,Rate how often you feel hopeless.,2.358384233262621
Q13,Rate your recent sleep quality.,2.148701598178278
